,route_name,route_link
0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
1,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
2,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
3,Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam
4,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
6,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
7,Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal
8,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
9,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
